1;[ 1, 1 ];1;[  ];
2;[ 2, 1 ];C2;[ 2 ];
3;[ 3, 1 ];C3;[ 3 ];
4;[ 4, 1 ];C4;[ 2 ];
4;[ 4, 2 ];C2 x C2;[ 2 ];
5;[ 5, 1 ];C5;[ 5 ];
6;[ 6, 1 ];S3;[ 2, 3 ];
6;[ 6, 2 ];C6;[ 2, 3 ];
7;[ 7, 1 ];C7;[ 7 ];
8;[ 8, 1 ];C8;[ 2 ];
8;[ 8, 2 ];C4 x C2;[ 2 ];
8;[ 8, 3 ];D8;[ 2 ];
8;[ 8, 4 ];Q8;[ 2 ];
8;[ 8, 5 ];C2 x C2 x C2;[ 2 ];
9;[ 9, 1 ];C9;[ 3 ];
9;[ 9, 2 ];C3 x C3;[ 3 ];
10;[ 10, 1 ];D10;[ 2, 5 ];
10;[ 10, 2 ];C10;[ 2, 5 ];
11;[ 11, 1 ];C11;[ 11 ];
12;[ 12, 1 ];C3 : C4;[ 2, 3 ];
12;[ 12, 2 ];C12;[ 2, 3 ];
12;[ 12, 3 ];A4;[ 2, 3 ];
12;[ 12, 4 ];D12;[ 2, 3 ];
12;[ 12, 5 ];C6 x C2;[ 2, 3 ];
13;[ 13, 1 ];C13;[ 13 ];
14;[ 14, 1 ];D14;[ 2, 7 ];
14;[ 14, 2 ];C14;[ 2, 7 ];
15;[ 15, 1 ];C15;[ 3, 5 ];
16;[ 16, 1 ];C16;[ 2 ];
16;[ 16, 2 ];C4 x C4;[ 2 ];
16;[ 16, 3 ];(C4 x C2) : C2;[ 2 ];
16;[ 16, 4 ];C4 : C4;[ 2 ];
16;[ 16, 5 ];C8 x C2;[ 2 ];
16;[ 16, 6 ];C8 : C2;[ 2 ];
16;[ 16, 7 ];D16;[ 2 ];
16;[ 16, 8 ];QD16;[ 2 ];
16;[ 16, 9 ];Q16;[ 2 ];
16;[ 16, 10 ];C4 x C2 x C2;[ 2 ];
16;[ 16, 11 ];C2 x D8;[ 2 ];
16;[ 16, 12 ];C2 x Q8;[ 2 ];
16;[ 16, 13 ];(C4 x C2) : C2;[ 2 ];
16;[ 16, 14 ];C2 x C2 x C2 x C2;[ 2 ];
17;[ 17, 1 ];C17;[ 17 ];
18;[ 18, 1 ];D18;[ 2, 3 ];
18;[ 18, 2 ];C18;[ 2, 3 ];
18;[ 18, 3 ];C3 x S3;[ 2, 3 ];
18;[ 18, 4 ];(C3 x C3) : C2;[ 2, 3 ];
18;[ 18, 5 ];C6 x C3;[ 2, 3 ];
19;[ 19, 1 ];C19;[ 19 ];
20;[ 20, 1 ];C5 : C4;[ 2, 5 ];
20;[ 20, 2 ];C20;[ 2, 5 ];
20;[ 20, 3 ];C5 : C4;[ 2, 5 ];
20;[ 20, 4 ];D20;[ 2, 5 ];
20;[ 20, 5 ];C10 x C2;[ 2, 5 ];
21;[ 21, 1 ];C7 : C3;[ 3, 7 ];
21;[ 21, 2 ];C21;[ 3, 7 ];
22;[ 22, 1 ];D22;[ 2, 11 ];
22;[ 22, 2 ];C22;[ 2, 11 ];
23;[ 23, 1 ];C23;[ 23 ];
24;[ 24, 1 ];C3 : C8;[ 2, 3 ];
