C72,Cyclic group,72,1,C72,"72,2"
D36,Dihedral group,36,2+,D36,"72,6"
F9,Frobenius group; = C32⋊C8 = AGL1(𝔽9),9,8+,F9,"72,39"
Dic18,Dicyclic group; = C9⋊Q8,72,2-,Dic18,"72,4"
PSU3(𝔽2),Projective special unitary group on 𝔽23; = C32⋊Q8 = M9,9,8+,"PSU(3,2)","72,41"
S3≀C2,Wreath product of S3 by C2; = SO+4(𝔽2),6,4+,S3wrC2,"72,40"
C3⋊S4,The semidirect product of C3 and S4 acting via S4/A4=C2,12,6+,C3:S4,"72,43"
C3⋊D12,The semidirect product of C3 and D12 acting via D12/D6=C2,12,4+,C3:D12,"72,23"
D6⋊S3,1st semidirect product of D6 and S3 acting via S3/C3=C2,24,4-,D6:S3,"72,22"
C32⋊2C8,The semidirect product of C32 and C8 acting via C8/C2=C4,24,4-,C3^2:2C8,"72,19"
C32⋊2Q8,The semidirect product of C32 and Q8 acting via Q8/C2=C22,24,4-,C3^2:2Q8,"72,24"
C9⋊D4,The semidirect product of C9 and D4 acting via D4/C22=C2,36,2,C9:D4,"72,8"
C12⋊S3,1st semidirect product of C12 and S3 acting via S3/C3=C2,36,,C12:S3,"72,33"
C32⋊7D4,2nd semidirect product of C32 and D4 acting via D4/C22=C2,36,,C3^2:7D4,"72,35"
C9⋊C8,The semidirect product of C9 and C8 acting via C8/C4=C2,72,2,C9:C8,"72,1"
Q8⋊C9,The semidirect product of Q8 and C9 acting via C9/C3=C3,72,2,Q8:C9,"72,3"
C32⋊4C8,2nd semidirect product of C32 and C8 acting via C8/C4=C2,72,,C3^2:4C8,"72,13"
C32⋊4Q8,2nd semidirect product of C32 and Q8 acting via Q8/C4=C2,72,,C3^2:4Q8,"72,31"
C6.D6,2nd non-split extension by C6 of D6 acting via D6/S3=C2,12,4+,C6.D6,"72,21"
C3.S4,The non-split extension by C3 of S4 acting via S4/A4=C2,18,6+,C3.S4,"72,15"
C2×C36,"Abelian group of type [2,36]",72,,C2xC36,"72,9"
C3×C24,"Abelian group of type [3,24]",72,,C3xC24,"72,14"
C6×C12,"Abelian group of type [6,12]",72,,C6xC12,"72,36"
C2×C62,"Abelian group of type [2,6,6]",72,,C2xC6^2,"72,50"
C22×C18,"Abelian group of type [2,2,18]",72,,C2^2xC18,"72,18"
C3×S4,Direct product of C3 and S4,12,3,C3xS4,"72,42"
S3×A4,Direct product of S3 and A4,12,6+,S3xA4,"72,44"
C6×A4,Direct product of C6 and A4,18,3,C6xA4,"72,47"
S3×C12,Direct product of C12 and S3,24,2,S3xC12,"72,27"
C3×D12,Direct product of C3 and D12,24,2,C3xD12,"72,28"
S3×Dic3,Direct product of S3 and Dic3,24,4-,S3xDic3,"72,20"
C3×Dic6,Direct product of C3 and Dic6,24,2,C3xDic6,"72,26"
C6×Dic3,Direct product of C6 and Dic3,24,,C6xDic3,"72,29"
C3×SL2(𝔽3),Direct product of C3 and SL2(𝔽3),24,2,"C3xSL(2,3)","72,25"
C4×D9,Direct product of C4 and D9,36,2,C4xD9,"72,5"
D4×C9,Direct product of C9 and D4,36,2,D4xC9,"72,10"
C22×D9,Direct product of C22 and D9,36,,C2^2xD9,"72,17"
D4×C32,Direct product of C32 and D4,36,,D4xC3^2,"72,37"
Q8×C9,Direct product of C9 and Q8,72,2,Q8xC9,"72,11"
C2×Dic9,Direct product of C2 and Dic9,72,,C2xDic9,"72,7"
Q8×C32,Direct product of C32 and Q8,72,,Q8xC3^2,"72,38"
C2×S32,"Direct product of C2, S3 and S3",12,4+,C2xS3^2,"72,46"
C3×C3⋊D4,Direct product of C3 and C3⋊D4,12,2,C3xC3:D4,"72,30"
C2×C32⋊C4,Direct product of C2 and C32⋊C4,12,4+,C2xC3^2:C4,"72,45"
C2×C3.A4,Direct product of C2 and C3.A4,18,3,C2xC3.A4,"72,16"
C3×C3⋊C8,Direct product of C3 and C3⋊C8,24,2,C3xC3:C8,"72,12"
S3×C2×C6,Direct product of C2×C6 and S3,24,,S3xC2xC6,"72,48"
C4×C3⋊S3,Direct product of C4 and C3⋊S3,36,,C4xC3:S3,"72,32"
C22×C3⋊S3,Direct product of C22 and C3⋊S3,36,,C2^2xC3:S3,"72,49"
C2×C3⋊Dic3,Direct product of C2 and C3⋊Dic3,72,,C2xC3:Dic3,"72,34"
